"Time","Sound pressure level"
1.544501610E2,-4.811901778E1
1.545554930E2,-4.926251890E1
1.546668930E2,-4.930523796E1
1.547721450E2,-4.977315285E1
1.548835310E2,-4.391201241E1
1.549888411E2,-4.901028296E1
1.551001780E2,-3.691823490E1
1.552054729E2,-4.348501130E1
1.553167520E2,-4.796995440E1
1.554221539E2,-4.931912077E1
1.555334780E2,-4.477183396E1
1.556380020E2,-4.862601341E1
1.557479650E2,-4.933275470E1
1.558546760E2,-4.360676835E1
1.559690551E2,-4.244468065E1
1.560814960E2,-5.011919960E1
1.561880430E2,-4.029259020E1
1.562982750E2,-4.395524928E1
1.564058419E2,-4.409383230E1
1.565151030E2,-5.031313508E1
1.566221271E2,-3.678877084E1
1.567336990E2,-4.259042224E1
1.568388170E2,-4.409062601E1
1.569503230E2,-4.139367271E1
1.570554790E2,-4.484335988E1
1.571689680E2,-4.763915410E1
1.572720990E2,-4.112417866E1
1.573821260E2,-4.847330389E1
1.574888070E2,-4.958235110E1
1.575989630E2,-4.185085580E1
1.577059070E2,-4.488058118E1
1.578156490E2,-4.776240377E1
1.579225870E2,-4.829730752E1
1.580325440E2,-5.000067256E1
1.581392000E2,-4.220998592E1
1.582492430E2,-4.202552549E1
1.583549490E2,-4.883898483E1
1.584659580E2,-4.870040805E1
1.585747930E2,-4.381995346E1
1.586827410E2,-4.725691688E1
1.587890120E2,-4.437900525E1
1.588994870E2,-4.242772415E1
1.590056731E2,-4.793274845E1
1.591163000E2,-3.717381668E1
1.592288820E2,-4.289267383E1
1.593389890E2,-4.422284495E1
1.594498290E2,-4.812983051E1
1.595556830E2,-4.919320788E1
1.596665649E2,-4.649254240E1
1.597723520E2,-4.473998092E1
1.598833520E2,-4.436213025E1
1.599891230E2,-4.194609110E1
1.601000870E2,-4.565529577E1
1.602056561E2,-4.234943383E1
1.603169450E2,-4.182578734E1
1.604223340E2,-4.764943922E1
1.605336879E2,-4.858924936E1
1.606464280E2,-4.745812368E1
1.607504621E2,-4.766918872E1
1.608624160E2,-3.814267040E1
1.609708771E2,-4.791617598E1
1.610769100E2,-4.309177602E1
1.611860200E2,-4.020919564E1
1.612902920E2,-4.406332460E1
1.614026570E2,-4.341982995E1
1.615156080E2,-4.835139738E1
1.616193711E2,-4.205544227E1
1.617322500E2,-4.085829324E1
1.618359979E2,-4.673632556E1
1.619488330E2,-4.252068174E1
1.620526600E2,-4.640392323E1
1.621657209E2,-4.454317920E1
1.622781920E2,-4.858031006E1
1.623859839E2,-4.166122816E1
1.624957000E2,-4.734713733E1
1.626015000E2,-4.767534904E1
1.627142360E2,-4.871502856E1
1.628193120E2,-4.468491799E1
1.629322350E2,-4.822102629E1
1.630363400E2,-4.314665895E1
1.631494240E2,-4.885738385E1
1.632528180E2,-4.885738385E1
1.633657700E2,-4.407653478E1
1.634823430E2,-4.610816831E1
1.635954460E2,-4.873680934E1
1.637019449E2,-4.898114068E1
1.638095970E2,-4.251876717E1
1.639186980E2,-4.189121679E1
1.640315530E2,-4.659317713E1
1.641354260E2,-4.836298543E1
1.642481650E2,-3.953056659E1
1.643521841E2,-4.796334946E1
1.644649220E2,-4.129226623E1
1.645726560E2,-4.378316469E1
1.646780440E2,-4.241833184E1
1.647857540E2,-4.874931816E1
1.648954819E2,-4.237482823E1
1.650025430E2,-4.877298409E1
1.651153680E2,-4.831910566E1
1.652193069E2,-4.971049230E1
1.653221610E2,-4.166706717E1
1.654349140E2,-4.519944281E1
1.655512760E2,-4.165398387E1
1.656677830E2,-4.409237556E1
1.657806870E2,-4.890650367E1
1.658863920E2,-4.895688712E1
1.659991400E2,-4.821537222E1
1.661033120E2,-4.875336290E1
1.662163390E2,-4.262158579E1
1.663198160E2,-4.634144404E1
1.664326770E2,-4.730597498E1
1.665365760E2,-4.520599368E1
1.666493160E2,-4.461030106E1
1.667534150E2,-4.481629013E1
1.668660700E2,-4.328487446E1
1.669738640E2,-4.242265433E1
1.670844060E2,-4.648034960E1
1.671973660E2,-4.140795446E1
1.673036730E2,-4.595776572E1
1.674166679E2,-4.800240379E1
1.675205500E2,-4.830583524E1
